Nom cultivar,Espèce,nb rangs,Espacement rg (cm),JAM (j),Recolte (j),Marge de sécu %,sem possible début,sem possible fin,Modif
Arroche Rouge,Arroche Rouge,"2,00","40,00",30,15,15%,,,13/3/2026 11:13am
Aneth,Aneth,"10,00","10,00",10,10,,,,10/2/2026 12:59pm
Tournesol,Tournesol,"4,00","15,24",65,7,,17,23,22/12/2025 12:09pm
Tatsoi (mini),Tatsoi (mini),"10,00","3,81",24,17,,16,32,22/12/2025 12:09pm
Laitue pommée,Laitue pommée,"4,00","15,24",55,14,,12,28,22/12/2025 12:07pm
Lys en terre,Lys en terre,"4,00","20,32",110,7,,10,16,22/12/2025 12:07pm
Epinards,Epinards,"4,00","15,00",30,28,,10,18,22/12/2025 12:07pm
Nigelle,Nigelle,"5,00","15,24",70,7,,14,20,22/12/2025 12:07pm
Anémone,Anémone,"5,00","15,24",90,15,,36,40,22/12/2025 12:07pm
Renoncule,Renoncule,"5,00","15,24",90,15,,36,40,22/12/2025 12:07pm
Lin à grandes fleurs,Lin à grandes fleurs,"5,00","15,24",60,7,,14,20,22/12/2025 12:07pm
Petits pois,Petits pois,"2,00","1,27",60,28,,10,18,22/12/2025 12:07pm
Navet,Navet,"6,00","6,35",50,14,,18,32,22/12/2025 12:07pm
Rabiole (hakurei),Rabiole (hakurei),"6,00","3,81",35,14,,14,28,22/12/2025 12:07pm
Dahlia,Dahlia,"1,00","30,48",90,15,,16,20,22/12/2025 12:07pm
Radis,Radis,"12,00","5,00",25,14,,12,32,22/12/2025 12:07pm
Chou (automne),Chou (automne),"2,00","45,72",90,14,,18,24,22/12/2025 12:07pm
Salsifis,Salsifis,"2,00","2,54",120,14,,14,20,22/12/2025 12:07pm
Coriandre,Coriandre,"6,00","2,54",60,14,,14,24,22/12/2025 12:07pm
Roquette,Roquette,"12,00","3,81",24,17,,14,32,22/12/2025 12:07pm
Carottes (primeur),Carottes (primeur),"6,00","3,81",55,20,,10,15,22/12/2025 12:07pm
Haricots nains,Haricots nains,"2,00","5,08",50,21,,20,28,22/12/2025 12:07pm
Maïs,Maïs,"2,00","45,72",74,14,,18,24,22/12/2025 12:07pm
Pois mange-tout,Pois mange-tout,"2,00","1,27",60,28,,10,18,22/12/2025 12:07pm
Ancolie,Ancolie,"3,00","22,86",360,10,,14,18,22/12/2025 12:07pm
Calendule,Calendule,"4,00","15,24",55,7,,14,24,22/12/2025 12:07pm
Betterave,Betterave,"3,00","12,70",55,20,,13,26,22/12/2025 12:07pm
Chou kale (petit),Chou kale (petit),"12,00","3,81",28,17,,14,22,22/12/2025 12:07pm
Pommes de terre (nouvelles),Pommes de terre (nouvelles),"1,00","15,24",89,14,,10,14,22/12/2025 12:07pm
Artichaut,Artichaut,"1,00","60,96",170,14,,12,16,22/12/2025 12:07pm
Saponaire,Saponaire,"4,00","15,24",75,10,,16,22,22/12/2025 12:07pm
Pommes de terre (conservation),Pommes de terre (conservation),"1,00","20,32",100,14,,12,16,22/12/2025 12:07pm
Chou (été),Chou (été),"2,00","45,72",65,14,,14,20,22/12/2025 12:07pm
Cresson,Cresson,"5,00","15,24",75,7,,12,24,22/12/2025 12:07pm
Mâche,Mâche,"5,00","5,00",50,21,,32,38,22/12/2025 12:07pm
Carottes (conservation),Carottes (conservation),"6,00","5,08",70,20,,22,27,22/12/2025 12:07pm