Name,Calcul Début pépinière via date plantation,Calcul Début pépinière via Récolte,Calcul Début plantation via pépinière,Calcul Début plantation via Récolte,Calcul Début récolte via pépinière,Calcul Début récolte via plantation,Date début pépinière,Jours en pépinière (j) (transplants),Jours en pépinière ,Cultivar,Espèces,Récolte hebdomadaire (from Charte de rendements) (from Espèces),Jours de récolte (from Espèces),Rendement en KG par J et par Mètre (rendements) (from Espèces),Dates recommandées (from Espèces),Méthode de culture,Contenant (pépinière),Semance / cell (pépinière),Technique (pépinière),Marge sécurité (pépinière),j germination (pépinière),Temp germination optimale (pépinière),contenant rempotage (pépinière),J jusqu'au rempotage (pépinière),2eme contenant rempotage (pépinière),j jusqu'au 2eme rempotage (pépinière),3eme contenant rempotage (pépinière),J jusqu'au 3e rempotage (pépinière),Planche,Récolte,portion planche m2,Date plantation,JAM (j) (Semis directs),JAM (j) (transplants),JAM,Date début récolte,Jours de récolte,Date fin de récolte,Date fin récolte,nb rangs (Semis directs),Espacement rg (cm) (Semis directs),Recolte (j) (Semis directs),Récolte (j) (transplants),Marge de sécu % (Semis directs),sem possible début (Semis directs),sem possible fin (Semis directs),Espacement sur rg (cm) (transplants),Espacement entre rg (cm) (transplants),Nb rang (transplants),Notes,Nb Transplants sur la planche,Tâche en cours,Charte des semis directs,Charte pépinière,Charte des transplants,Terminé,% planche,Planche historique,"Affichage ""Dates prévisionnelles""",Affichage avancement de plantation,% Avancement général,J en cours,modif pépinière,modif plantation,modif récolte,filtre autom,Tache,Nb tache a faire,Date de semis pépinière réelle,Date de transplantation/semis direct réelle,Date de récolte réelle,Rendement KG / J ,Prevision de rendement en KG,Charte Tâches (from Espèces),Nombre de récolte hebdo,NB de récolte prévue,Quantité par récolte prévue (en kg),Créer récoltes,Récolte tous les X jours,Cumul de Quantité (à partir de Récolte),% Rendement,Espèce (from Cultivar),SOFTR Planche + Cutivar,SOFTR Plantation,SOFTR Affichage avancement de plantation,Numéro (from Planche),parcelle (from Planche),SOFTR : Filtre planche ou non,DATA,Planche + Portion,Superficie (from parcelle) (from Planche)
⏱️ Aubergine Alexandra,12/3/2026,17/3/2026,26/5/2026,26/5/2026,4/8/2026,25/7/2026,22/3/2026,70,70,Aubergine Alexandra,Aubergine,3,160,0.094,,Transplants,Plateau 128 cellules,1,À la main,,10,20,"""Pot de 4""""""",21,,,,,Serre 01,,"20,00",21/5/2026,,130,65,30/7/2026,160,6/1/2027,,,,,160,,,,"45,00","40,00","1,00",,45,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Aubergine,Aubergine,,100%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-62,0%,,17/3/2026,17/3/2026 12:25,17/3/2026 12:25,,"☐ 1ère Récolte,☐ Semis pépinière,☐ Transplantation",3,,,,1.875,300.000,"Semis pépinière Aubergine,Transplantation Aubergine,1ère Récolte Aubergine",3,69,4.348,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=recGiRL6g9u1RCxae&nbrécolte=69&jour=2026-07-30T00:00:00.000Z&nbjours=160&quantite=4.3478260869565215,2,"0,000",0%,Aubergine,Serre 01 Aubergine Alexandra,<br>21/05 Aubergine Alexandra,Pépi J-2 - Plan J-62,01,Serre,A venir,DATA,Serre 01 : 20m,20.00
⏱️ Aubergine Mini Slim Jim,17/3/2026,22/3/2026,26/5/2026,31/5/2026,4/8/2026,30/7/2026,22/3/2026,70,70,Aubergine Mini Slim Jim,Aubergine,3,160,0.094,,Transplants,Plateau 128 cellules,1,À la main,,10,20,"""Pot de 4""""""",21,,,,,Serre 02,,"20,00",26/5/2026,,130,65,4/8/2026,160,11/1/2027,,,,,160,,,,"45,00","40,00","1,00",,45,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Aubergine,Aubergine,,100%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-67,0%,,17/3/2026,17/3/2026 12:27,17/3/2026 12:27,,"☐ Semis pépinière,☐ Transplantation,☐ 1ère Récolte",3,,,,1.875,300.000,"Semis pépinière Aubergine,Transplantation Aubergine,1ère Récolte Aubergine",3,69,4.348,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=recrfGiV2PErA9dvd&nbrécolte=69&jour=2026-08-04T00:00:00.000Z&nbjours=160&quantite=4.3478260869565215,2,"0,000",0%,Aubergine,Serre 02 Aubergine Mini Slim Jim,<br>26/05 Aubergine Mini Slim Jim,Pépi J-2 - Plan J-67,02,Serre,A venir,DATA,Serre 02 : 20m,20.00
⏱️ Concombre (serre) Tanja,21/3/2026,22/3/2026,18/4/2026,19/4/2026,16/5/2026,15/5/2026,22/3/2026,28,28,Concombre (serre) Tanja,Concombre (serre),,60,0.066,,Transplants,"""Pot de 6""""""",1,À la main,,7,19,,,,,,,Serre 03,,"20,00",18/4/2026,,61,27,16/5/2026,45,30/6/2026,,,,,60,,,,"45,00","40,00","1,00",,45,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Concombre (serre),Concombre (serre),,100%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-29,0%,,17/3/2026,17/3/2026 12:28,17/3/2026 12:28,,"☐ 1ère Récolte,☐ Semis pépinière,☐ Transplantation",3,,,,1.313,59.100,"Semis pépinière Concombre (serre),Transplantation Concombre (serre),1ère Récolte Concombre (serre)",,1,59.100,,45,"0,000",0%,Concombre (serre),Serre 03 Concombre (serre) Tanja,<br>18/04 Concombre (serre) Tanja,Pépi J-2 - Plan J-29,03,Serre,A venir,DATA,Serre 03 : 20m,20.00
⏱️ Concombre (serre) Mirella (mini),18/6/2026,18/6/2026,18/4/2026,16/7/2026,16/5/2026,12/8/2026,22/3/2026,28,28,Concombre (serre) Mirella (mini),Concombre (serre),,60,0.066,,Transplants,"""Pot de 6""""""",1,À la main,,7,19,,,,,,,Serre 04,,"20,00",16/7/2026,,61,27,12/8/2026,45,26/9/2026,,,,,60,,,,"45,00","40,00","1,00",,45,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Concombre (serre),Concombre (serre),,100%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-118,0%,,17/3/2026,17/3/2026 12:28,17/3/2026 12:28,pepi,"☐ Semis pépinière,☐ Transplantation,☐ 1ère Récolte",3,,,,1.313,59.100,"Semis pépinière Concombre (serre),Transplantation Concombre (serre),1ère Récolte Concombre (serre)",,1,59.100,,45,"0,000",0%,Concombre (serre),Serre 04 Concombre (serre) Mirella (mini),<br>16/07 Concombre (serre) Mirella (mini),Pépi J-2 - Plan J-118,04,Serre,A venir,DATA,Serre 04 : 20m,20.00
⏱️ Courgettes d'été Black beauty (mini),11/4/2026,22/3/2026,26/4/2026,6/4/2026,11/5/2026,31/5/2026,22/3/2026,15,15,Courgettes d'été Black beauty (mini),Courgettes d'été,,75,0.080,,Transplants,Plateau 72 cellules,1,À la main,,6,22,,,,,,,Serre 05,,"20,00",26/4/2026,,60,35,11/5/2026,42,22/6/2026,,,,,75,,,,"60,00","40,00","1,00",,34,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Courgettes d'été,Courgettes d'été,,100%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-37,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ 1ère Récolte,☐ Transplantation,☐ Semis pépinière",3,,,,1.600,67.200,"Semis pépinière Courgettes d'été,Transplantation Courgettes d'été,1ère Récolte Courgettes d'été",,1,67.200,,42,"0,000",0%,Courgettes d'été,Serre 05 Courgettes d'été Black beauty (mini),<br>26/04 Courgettes d'été Black beauty (mini),Pépi J-2 - Plan J-37,05,Serre,A venir,DATA,Serre 05 : 20m,20.00
⏱️ Courgettes d'été Verte petite d'Alger (mini),11/4/2026,22/3/2026,26/4/2026,6/4/2026,11/5/2026,31/5/2026,22/3/2026,15,15,Courgettes d'été Verte petite d'Alger (mini),Courgettes d'été,,75,0.080,,Transplants,Plateau 72 cellules,1,À la main,,6,22,,,,,,,Serre 06,,"20,00",26/4/2026,,60,35,11/5/2026,42,22/6/2026,,,,,75,,,,"60,00","40,00","1,00",,34,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Courgettes d'été,Courgettes d'été,,100%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-37,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Transplantation,☐ 1ère Récolte,☐ Semis pépinière",3,,,,1.600,67.200,"Semis pépinière Courgettes d'été,Transplantation Courgettes d'été,1ère Récolte Courgettes d'été",,1,67.200,,42,"0,000",0%,Courgettes d'été,Serre 06 Courgettes d'été Verte petite d'Alger (mini),<br>26/04 Courgettes d'été Verte petite d'Alger (mini),Pépi J-2 - Plan J-37,06,Serre,A venir,DATA,Serre 06 : 20m,20.00
⏱️ Basilic Grand vert,6/4/2026,22/3/2026,6/5/2026,21/4/2026,5/6/2026,20/6/2026,22/3/2026,30,30,Basilic Grand vert,Basilic,2,49,0.013,,Transplants,Plateau 128 cellules,1,À la main,,10,20,,,,,,,Serre 07,,"2,50",6/5/2026,,45,45,5/6/2026,49,24/7/2026,,,,,49,,,,"30,00","20,32","4,00",,34,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Basilic,Basilic,,13%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-47,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ 1ère Récolte,☐ Semis pépinière,☐ Transplantation",3,,,,0.034,1.642,"Semis pépinière Basilic,Transplantation Basilic,1ère Récolte Basilic",2,15,0.109,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=recueHElBQyuqYw3V&nbrécolte=15&jour=2026-06-05T00:00:00.000Z&nbjours=49&quantite=0.10944444444444446,3,"0,000",0%,Basilic,Serre 07 Basilic Grand vert,<br>06/05 Basilic Grand vert,Pépi J-2 - Plan J-47,07,Serre,A venir,DATA,Serre 07 : 2.5m,20.00
⏱️ Basilic Petite Feuille,6/4/2026,22/3/2026,6/5/2026,21/4/2026,5/6/2026,20/6/2026,22/3/2026,30,30,Basilic Petite Feuille,Basilic,2,49,0.013,,Transplants,Plateau 128 cellules,1,À la main,,10,20,,,,,,,Serre 07,,"2,50",6/5/2026,,45,45,5/6/2026,49,24/7/2026,,,,,49,,,,"30,00","20,32","4,00",,34,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Basilic,Basilic,,13%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-47,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Transplantation,☐ Semis pépinière,☐ 1ère Récolte",3,,,,0.034,1.642,"Semis pépinière Basilic,Transplantation Basilic,1ère Récolte Basilic",2,15,0.109,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=recEJlGJ12U1KTvCb&nbrécolte=15&jour=2026-06-05T00:00:00.000Z&nbjours=49&quantite=0.10944444444444446,3,"0,000",0%,Basilic,Serre 07 Basilic Petite Feuille,<br>06/05 Basilic Petite Feuille,Pépi J-2 - Plan J-47,07,Serre,A venir,DATA,Serre 07 : 2.5m,20.00
⏱️ Basilic Citron,6/4/2026,22/3/2026,6/5/2026,21/4/2026,5/6/2026,20/6/2026,22/3/2026,30,30,Basilic Citron,Basilic,2,49,0.013,,Transplants,Plateau 128 cellules,1,À la main,,10,20,,,,,,,Serre 07,,"2,50",6/5/2026,,45,45,5/6/2026,49,24/7/2026,,,,,49,,,,"30,00","20,32","4,00",,34,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Basilic,Basilic,,13%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-47,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Semis pépinière,☐ 1ère Récolte,☐ Transplantation",3,,,,0.034,1.642,"Semis pépinière Basilic,Transplantation Basilic,1ère Récolte Basilic",2,15,0.109,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=recjoyCOGSCEpe49t&nbrécolte=15&jour=2026-06-05T00:00:00.000Z&nbjours=49&quantite=0.10944444444444446,3,"0,000",0%,Basilic,Serre 07 Basilic Citron,<br>06/05 Basilic Citron,Pépi J-2 - Plan J-47,07,Serre,A venir,DATA,Serre 07 : 2.5m,20.00
⏱️ Basilic Canelle,6/4/2026,22/3/2026,6/5/2026,21/4/2026,5/6/2026,20/6/2026,22/3/2026,30,30,Basilic Canelle,Basilic,2,49,0.013,,Transplants,Plateau 128 cellules,1,À la main,,10,20,,,,,,,Serre 07,,"2,50",6/5/2026,,45,45,5/6/2026,49,24/7/2026,,,,,49,,,,"30,00","20,32","4,00",,34,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Basilic,Basilic,,13%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-47,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Transplantation,☐ Semis pépinière,☐ 1ère Récolte",3,,,,0.034,1.642,"Semis pépinière Basilic,Transplantation Basilic,1ère Récolte Basilic",2,15,0.109,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=recjxCV6BJJCE3qZe&nbrécolte=15&jour=2026-06-05T00:00:00.000Z&nbjours=49&quantite=0.10944444444444446,3,"0,000",0%,Basilic,Serre 07 Basilic Canelle,<br>06/05 Basilic Canelle,Pépi J-2 - Plan J-47,07,Serre,A venir,DATA,Serre 07 : 2.5m,20.00
⏱️ Coriandre Petites graines,22/3/2026,22/3/2026,21/4/2026,21/4/2026,21/5/2026,21/5/2026,22/3/2026,30,30,Coriandre Petites graines,Coriandre,,10,0.236,02 avril - 25 juin,Transplants,Plateau 128 cellules,4,À la main,,21,17,,,,,,,Serre 08,,"10,00",21/4/2026,60,40,30,21/5/2026,14,4/6/2026,,"6,00","2,54",14,10,,14,24,"15,00","20,00","4,00",,267,,Coriandre,Coriandre,Coriandre,,50%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-32,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,,0,,,,2.364,33.096,,,1,33.096,,14,"0,000",0%,Coriandre,Serre 08 Coriandre Petites graines,<br>21/04 Coriandre Petites graines,Pépi J-2 - Plan J-32,08,Serre,A venir,DATA,Serre 08 : 10m,20.00
⏱️ Tomates Noire de Crimée,20/4/2026,22/3/2026,8/6/2026,10/5/2026,27/7/2026,25/8/2026,22/3/2026,49,49,Tomates Noire de Crimée,Tomates,3,42,0.179,,Transplants,Plateau 72 cellules,1,À la main,,11,20,"""Pot de 4""""""",21,,,,,Serre 09,,"5,00",8/6/2026,,78,78,27/7/2026,42,7/9/2026,,,,,42,,,,"35,00","40,00","1,00",,15,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Tomates,Tomates,,25%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-80,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ 1ère Récolte,☐ Semis pépinière,☐ Transplantation",3,,,,0.893,37.500,"Semis pépinière Tomates,Transplantation Tomates,1ère Récolte Tomates",3,19,1.974,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=recWJH4AfwVgGCmSJ&nbrécolte=19&jour=2026-07-27T00:00:00.000Z&nbjours=42&quantite=1.9736842105263157,2,"0,000",0%,Tomates,Serre 09 Tomates Noire de Crimée,<br>08/06 Tomates Noire de Crimée,Pépi J-2 - Plan J-80,09,Serre,A venir,DATA,Serre 09 : 5m,20.00
⏱️ Tomates Gregori Altai,20/4/2026,22/3/2026,8/6/2026,10/5/2026,27/7/2026,25/8/2026,22/3/2026,49,49,Tomates Gregori Altai,Tomates,3,42,0.179,,Transplants,Plateau 72 cellules,1,À la main,,11,20,"""Pot de 4""""""",21,,,,,Serre 09,,"5,00",8/6/2026,,78,78,27/7/2026,42,7/9/2026,,,,,42,,,,"35,00","40,00","1,00",,15,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Tomates,Tomates,,25%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-80,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Semis pépinière,☐ Transplantation,☐ 1ère Récolte",3,,,,0.893,37.500,"Semis pépinière Tomates,Transplantation Tomates,1ère Récolte Tomates",3,19,1.974,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=rec8KSKZZNykt0KIF&nbrécolte=19&jour=2026-07-27T00:00:00.000Z&nbjours=42&quantite=1.9736842105263157,2,"0,000",0%,Tomates,Serre 09 Tomates Gregori Altai,<br>08/06 Tomates Gregori Altai,Pépi J-2 - Plan J-80,09,Serre,A venir,DATA,Serre 09 : 5m,20.00
⏱️ Tomates Green Zebra,20/4/2026,22/3/2026,8/6/2026,10/5/2026,27/7/2026,25/8/2026,22/3/2026,49,49,Tomates Green Zebra,Tomates,3,42,0.179,,Transplants,Plateau 72 cellules,1,À la main,,11,20,"""Pot de 4""""""",21,,,,,Serre 09,,"5,00",8/6/2026,,78,78,27/7/2026,42,7/9/2026,,,,,42,,,,"35,00","40,00","1,00",,15,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Tomates,Tomates,,25%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-80,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Semis pépinière,☐ 1ère Récolte,☐ Transplantation",3,,,,0.893,37.500,"Semis pépinière Tomates,Transplantation Tomates,1ère Récolte Tomates",3,19,1.974,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=recvB5cn9JDJLuhzW&nbrécolte=19&jour=2026-07-27T00:00:00.000Z&nbjours=42&quantite=1.9736842105263157,2,"0,000",0%,Tomates,Serre 09 Tomates Green Zebra,<br>08/06 Tomates Green Zebra,Pépi J-2 - Plan J-80,09,Serre,A venir,DATA,Serre 09 : 5m,20.00
⏱️ Tomates Hawaiian Pineapple (Ananas),20/4/2026,22/3/2026,8/6/2026,10/5/2026,27/7/2026,25/8/2026,22/3/2026,49,49,Tomates Hawaiian Pineapple (Ananas),Tomates,3,42,0.179,,Transplants,Plateau 72 cellules,1,À la main,,11,20,"""Pot de 4""""""",21,,,,,Serre 09,,"5,00",8/6/2026,,78,78,27/7/2026,42,7/9/2026,,,,,42,,,,"35,00","40,00","1,00",,15,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Tomates,Tomates,,25%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-80,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Semis pépinière,☐ Transplantation,☐ 1ère Récolte",3,,,,0.893,37.500,"Semis pépinière Tomates,Transplantation Tomates,1ère Récolte Tomates",3,19,1.974,https://hook.eu1.make.com/khml1iry7wl6e17tf6xqnnehspdyjf4y?id=recMS0OuA4RlySwDT&nbrécolte=19&jour=2026-07-27T00:00:00.000Z&nbjours=42&quantite=1.9736842105263157,2,"0,000",0%,Tomates,Serre 09 Tomates Hawaiian Pineapple (Ananas),<br>08/06 Tomates Hawaiian Pineapple (Ananas),Pépi J-2 - Plan J-80,09,Serre,A venir,DATA,Serre 09 : 5m,20.00
⏱️ Tomates cerises Delice des Jardiniers,22/3/2026,22/3/2026,16/5/2026,16/5/2026,10/7/2026,10/7/2026,22/3/2026,55,55,Tomates cerises Delice des Jardiniers,Tomates cerises,,180,0.128,,Transplants,Plateau 128 cellules,1,À la main,,11,20,"""Pot de 6""""""",21,,,,,Serre 10,,"10,00",16/5/2026,,55,55,10/7/2026,180,6/1/2027,,,,,180,,,,"25,00","40,00","1,00",,41,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Tomates cerises,Tomates cerises,,50%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-57,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Semis pépinière,☐ Transplantation,☐ 1ère Récolte",3,,,,1.278,230.000,"Semis pépinière Tomates cerises,Transplantation Tomates cerises,1ère Récolte Tomates cerises",,1,230.000,,180,"0,000",0%,Tomates cerises,Serre 10 Tomates cerises Delice des Jardiniers,<br>16/05 Tomates cerises Delice des Jardiniers,Pépi J-2 - Plan J-57,10,Serre,A venir,DATA,Serre 10 : 10m,20.00
⏱️ Tomates cerises Trigella Bicolore,22/3/2026,22/3/2026,16/5/2026,16/5/2026,10/7/2026,10/7/2026,22/3/2026,55,55,Tomates cerises Trigella Bicolore,Tomates cerises,,180,0.128,,Transplants,Plateau 128 cellules,1,À la main,,11,20,"""Pot de 6""""""",21,,,,,Serre 10,,"10,00",16/5/2026,,55,55,10/7/2026,180,6/1/2027,,,,,180,,,,"25,00","40,00","1,00",,41,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Tomates cerises,Tomates cerises,,50%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-57,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Semis pépinière,☐ Transplantation,☐ 1ère Récolte",3,,,,1.278,230.000,"Semis pépinière Tomates cerises,Transplantation Tomates cerises,1ère Récolte Tomates cerises",,1,230.000,,180,"0,000",0%,Tomates cerises,Serre 10 Tomates cerises Trigella Bicolore,<br>16/05 Tomates cerises Trigella Bicolore,Pépi J-2 - Plan J-57,10,Serre,A venir,DATA,Serre 10 : 10m,20.00
⏱️ Tomates cerises Blush,22/3/2026,22/3/2026,16/5/2026,16/5/2026,10/7/2026,10/7/2026,22/3/2026,55,55,Tomates cerises Blush,Tomates cerises,,180,0.128,,Transplants,Plateau 128 cellules,1,À la main,,11,20,"""Pot de 6""""""",21,,,,,Serre 11,,"10,00",16/5/2026,,55,55,10/7/2026,180,6/1/2027,,,,,180,,,,"25,00","40,00","1,00",,41,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Tomates cerises,Tomates cerises,,50%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-57,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ 1ère Récolte,☐ Transplantation,☐ Semis pépinière",3,,,,1.278,230.000,"Semis pépinière Tomates cerises,Transplantation Tomates cerises,1ère Récolte Tomates cerises",,1,230.000,,180,"0,000",0%,Tomates cerises,Serre 11 Tomates cerises Blush,<br>16/05 Tomates cerises Blush,Pépi J-2 - Plan J-57,11,Serre,A venir,DATA,Serre 11 : 10m,20.00
⏱️ Tomates cerises Blue Berries,22/3/2026,22/3/2026,16/5/2026,16/5/2026,10/7/2026,10/7/2026,22/3/2026,55,55,Tomates cerises Blue Berries,Tomates cerises,,180,0.128,,Transplants,Plateau 128 cellules,1,À la main,,11,20,"""Pot de 6""""""",21,,,,,Serre 11,,"10,00",16/5/2026,,55,55,10/7/2026,180,6/1/2027,,,,,180,,,,"25,00","40,00","1,00",,41,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Tomates cerises,Tomates cerises,,50%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-57,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Semis pépinière,☐ 1ère Récolte,☐ Transplantation",3,,,,1.278,230.000,"Semis pépinière Tomates cerises,Transplantation Tomates cerises,1ère Récolte Tomates cerises",,1,230.000,,180,"0,000",0%,Tomates cerises,Serre 11 Tomates cerises Blue Berries,<br>16/05 Tomates cerises Blue Berries,Pépi J-2 - Plan J-57,11,Serre,A venir,DATA,Serre 11 : 10m,20.00
⏱️ Poivrons (serre) Mandarine,22/3/2026,22/3/2026,21/5/2026,21/5/2026,20/7/2026,20/7/2026,22/3/2026,60,60,Poivrons (serre) Mandarine,Poivrons (serre),,85,0.079,,Transplants,Plateau 128 cellules,1,À la main,,15,22,"""Pot de 4""""""",,,,,,Serre 12,,"10,00",21/5/2026,,70,60,20/7/2026,150,17/12/2026,,,,,85,,,,"23,00","40,00","1,00",,44,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Poivrons (serre),Poivrons (serre),,50%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-62,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ 1ère Récolte,☐ Semis pépinière,☐ Transplantation",3,,,,0.788,118.235,"Semis pépinière Poivrons (serre),Transplantation Poivrons (serre),1ère Récolte Poivrons (serre)",,1,118.235,,150,"0,000",0%,Poivrons (serre),Serre 12 Poivrons (serre) Mandarine,<br>21/05 Poivrons (serre) Mandarine,Pépi J-2 - Plan J-62,12,Serre,A venir,DATA,Serre 12 : 10m,20.00
⏱️ Poivrons (serre) Doux long des Landes,22/3/2026,22/3/2026,21/5/2026,21/5/2026,20/7/2026,20/7/2026,22/3/2026,60,60,Poivrons (serre) Doux long des Landes,Poivrons (serre),,85,0.079,,Transplants,Plateau 128 cellules,1,À la main,,15,22,"""Pot de 4""""""",,,,,,Serre 12,,"10,00",21/5/2026,,70,60,20/7/2026,150,17/12/2026,,,,,85,,,,"23,00","40,00","1,00",,44,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Poivrons (serre),Poivrons (serre),,50%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-62,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ 1ère Récolte,☐ Transplantation,☐ Semis pépinière",3,,,,0.788,118.235,"Semis pépinière Poivrons (serre),Transplantation Poivrons (serre),1ère Récolte Poivrons (serre)",,1,118.235,,150,"0,000",0%,Poivrons (serre),Serre 12 Poivrons (serre) Doux long des Landes,<br>21/05 Poivrons (serre) Doux long des Landes,Pépi J-2 - Plan J-62,12,Serre,A venir,DATA,Serre 12 : 10m,20.00
⏱️ Melon Vieille France,26/5/2026,22/3/2026,10/6/2026,6/4/2026,25/6/2026,29/8/2026,22/3/2026,15,15,Melon Vieille France,Melon,,20,0.350,,Transplants,Plateau 72 cellules,1,À la main,,10,25,,,,,,,Serre 13,,"10,00",10/6/2026,,115,80,25/6/2026,20,15/7/2026,,,,,20,,,,"100,00","40,00","1,00",,11,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Melon,Melon,,50%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-82,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ Semis pépinière,☐ Transplantation,☐ 1ère Récolte",3,,,,3.500,70.000,"Semis pépinière Melon,Transplantation Melon,1ère Récolte Melon",,1,70.000,,20,"0,000",0%,Melon,Serre 13 Melon Vieille France,<br>10/06 Melon Vieille France,Pépi J-2 - Plan J-82,13,Serre,A venir,DATA,Serre 13 : 10m,20.00
⏱️ Melon Petit Gris de Rennes,26/5/2026,22/3/2026,10/6/2026,6/4/2026,25/6/2026,29/8/2026,22/3/2026,15,15,Melon Petit Gris de Rennes,Melon,,20,0.350,,Transplants,Plateau 72 cellules,1,À la main,,10,25,,,,,,,Serre 13,,"10,00",10/6/2026,,115,80,25/6/2026,20,15/7/2026,,,,,20,,,,"100,00","40,00","1,00",,11,"☐ Semis pépinière, ☐ Transplantation, ☐ 1ère Récolte",,Melon,Melon,,50%,,Dates prévisionnelles ,Pépinière J-2 - Plantation J-82,0%,,17/3/2026,17/3/2026 12:39,17/3/2026 12:39,,"☐ 1ère Récolte,☐ Transplantation,☐ Semis pépinière",3,,,,3.500,70.000,"Semis pépinière Melon,Transplantation Melon,1ère Récolte Melon",,1,70.000,,20,"0,000",0%,Melon,Serre 13 Melon Petit Gris de Rennes,<br>10/06 Melon Petit Gris de Rennes,Pépi J-2 - Plan J-82,13,Serre,A venir,DATA,Serre 13 : 10m,20.00